id_str,text
"530698308726308864","🌻✨🌻✨🌻✨

EVERYONE GET
#SomeBigToNumber1

BUY IT BC ITS AMAZING
http://t.co/NgIfV737Ie

@ShawnMendes 

🌻✨🌻✨🌻✨
144"
"530698307694505984","RT @ShawnMendes: Lets do this ! #SomethingBigToNumber1 spread it around your school today and tell all of your friends to buy ! http://t.co…"
"530698307572879361","RT @ShawnMendes: At #14 now guys ! Lets keep this going up the charts, gift it with all your friends ! #SomethingBigToNumber1 - http://t.co…"
"530698307568685056","RT @ShawnMendes: Lets do this ! #SomethingBigToNumber1 spread it around your school today and tell all of your friends to buy ! http://t.co…"
"530698307497377792","RT @ShawnMendes: Lets do this ! #SomethingBigToNumber1 spread it around your school today and tell all of your friends to buy ! http://t.co…"
"530699067824025600","@ShawnMendes
WHEN YOU READY GO AND GET IT 

⬇⬇⬇⬇⬇⬇⬇

#SomethingBigOniTunes  
#SomethingBigToNumber1

 ⬆⬆⬆⬆⬆⬆
https://t.co/wRNWjXcEBj 169"
"530699067773714432","Save Smurfs, Solve Puzzles, Look Fabulous. Play #SmurfettesMagicMatch. @BeelineGames - http://t.co/ni2UWjTDkW"
"530699067698216960","RT @AppIeOfficiel: Apple GLASS - the future is here 📱  http://t.co/d2vCOCOTqt"
"530699067228430336","Fresh out of the oven, Ollie has been a busy chef today. Spiced Orchard Apple cake. http://t.co/uTmL1w14MG"
"530699067215470592","RT @onedirection: The #FOURTAKEOVER unlocked #ReadyToRun! If you’ve pre-ordered the deluxe album on @iTunesMusic then get it now! http://t.…"
"530699067077050368","RT @ShawnMendes: Lets do this ! #SomethingBigToNumber1 spread it around your school today and tell all of your friends to buy ! http://t.co…"
"530699066725122048","RT @ShawnMendes: Lets do this ! #SomethingBigToNumber1 spread it around your school today and tell all of your friends to buy ! http://t.co…"
"530699066301493248","http://t.co/4Rz8NF2HHv Cool ringtone made in Pimp Your Sound (http://t.co/Eyw9WbzQ9I) http://t.co/HoxAy0BOCj"
"530699066133712897","RT @onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/6mXo3EyvY3"
"530699065991114752","RT @onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/6mXo3EyvY3"
"530699065978138626","RT @iTunesMusic: ""Ready to Run.""
New from @onedirection.
Pre-order the FOUR deluxe edition &amp; get it now.
http://t.co/izqJQPlCa1 http://t.co…"
"530699064632164352","GO BUY @ShawnMendes 's NEW SINGLE ""something big"" http://t.co/Sz2lfrKmIP
#SomethingBigToNumber1 
http://t.co/WzuQViPIZ8 x60"
"530699064451407872","【Tomb Raider I】CLASSIC GAME ALERT!

We’r・・・URL→[https://t.co/gGubtZPFCO] http://t.co/aJJNXAZO8Y"
